panelist	question_id	answer	correct	score	elapsed_second
Bさん	1_2019年流行語大賞	インスタ映え	0	0	3.381
Bさん	1_ピーナッツ	ピーナッツ	1	1	3.866
Bさん	1_金額並び替え	A→B→C→D	0	0	3.204
Bさん	1_ゴルフパット	入る	1	1	5.570
Bさん	1_マシュマロチャレンジ	できない	0	0	7.211
Cさん	1_2019年流行語大賞	ONE TEAM	1	1	4.123
Cさん	1_ピーナッツ	くるみ	0	0	5.665
Cさん	1_金額並び替え	C→A→B→D	1	1	6.371
Cさん	1_ゴルフパット	入る	1	1	6.758
Cさん	1_マシュマロチャレンジ	できない	0	0	6.066
Dさん	1_2019年流行語大賞	ONE TEAM	1	1	7.465
Dさん	1_ピーナッツ	ピスタチオ	0	0	4.631
Dさん	1_金額並び替え	C→A→B→D	1	1	6.877
Dさん	1_ゴルフパット	入る	1	1	6.539
Dさん	1_マシュマロチャレンジ	できない	0	0	4.697
Eさん	1_2019年流行語大賞	ONE TEAM	1	1	3.366
Eさん	1_ピーナッツ	ピーナッツ	1	1	4.806
Eさん	1_金額並び替え	C→B→A→D	0	0	3.256
Eさん	1_ゴルフパット	入らない	0	0	7.149
Eさん	1_マシュマロチャレンジ	できない	0	0	3.501
Fさん	1_2019年流行語大賞	ONE TEAM	1	1	4.642
Fさん	1_ピーナッツ	ピスタチオ	0	0	4.621
Fさん	1_金額並び替え	C→A→B→D	1	1	5.626
Fさん	1_ゴルフパット	入らない	0	0	7.199
Fさん	1_マシュマロチャレンジ	できる	1	1	4.523
Gさん	1_2019年流行語大賞	3密	0	0	6.340
Gさん	1_ピーナッツ	アーモンド	0	0	6.727
Gさん	1_金額並び替え	A→B→C→D	0	0	7.701
Gさん	1_ゴルフパット	入る	1	1	5.335
Gさん	1_マシュマロチャレンジ	できる	1	1	5.998
AAさん	1_2019年流行語大賞	ONE TEAM	1	1	3.687
AAさん	1_ピーナッツ	ピーナッツ	1	1	4.213
AAさん	1_金額並び替え	C→A→B→D	1	1	4.159
AAさん	1_ゴルフパット	入らない	0	0	7.568
AAさん	1_マシュマロチャレンジ	できない	0	0	5.247
BBさん	1_2019年流行語大賞	KP	0	0	7.533
BBさん	1_ピーナッツ	アーモンド	0	0	7.068
BBさん	1_金額並び替え	C→A→B→D	1	1	6.407
BBさん	1_ゴルフパット	入る	1	1	5.459
BBさん	1_マシュマロチャレンジ	できない	0	0	6.022
CCさん	1_2019年流行語大賞	ONE TEAM	1	1	6.092
CCさん	1_ピーナッツ	アーモンド	0	0	7.038
CCさん	1_金額並び替え	B→A→C→D	0	0	4.573
CCさん	1_ゴルフパット	入らない	0	0	3.743
CCさん	1_マシュマロチャレンジ	できる	1	1	6.277
DDさん	1_2019年流行語大賞	ONE TEAM	1	1	6.049
DDさん	1_ピーナッツ	ピーナッツ	1	1	7.363
DDさん	1_金額並び替え	A→B→C→D	0	0	4.513
DDさん	1_ゴルフパット	入る	1	1	4.599
DDさん	1_マシュマロチャレンジ	できる	1	1	7.838
EEさん	1_2019年流行語大賞	KP	0	0	4.958
EEさん	1_ピーナッツ	ピスタチオ	0	0	7.085
EEさん	1_金額並び替え	B→A→C→D	0	0	5.366
EEさん	1_ゴルフパット	入らない	0	0	7.117
EEさん	1_マシュマロチャレンジ	できる	1	1	7.263
FFさん	1_2019年流行語大賞	KP	0	0	6.070
FFさん	1_ピーナッツ	ピーナッツ	1	1	6.451
FFさん	1_金額並び替え	A→B→C→D	0	0	7.829
FFさん	1_ゴルフパット	入らない	0	0	7.266
FFさん	1_マシュマロチャレンジ	できる	1	1	5.141
GGさん	1_2019年流行語大賞	KP	0	0	4.831
GGさん	1_ピーナッツ	ピスタチオ	0	0	4.380
GGさん	1_金額並び替え	C→A→B→D	1	1	6.497
GGさん	1_ゴルフパット	入る	1	1	3.918
GGさん	1_マシュマロチャレンジ	できる	1	1	3.668
