id	period	idx	question_format	option_format	read_text	text	answer	point	thinking_second
1	1	1	文字	文字	今年度も新しいメンバーがたくさん入ってくれました。現在の慶應Ambassador全体の人数は何人でしょう？	慶應Ambassador全体の人数は？	61名	1	15
2	1	2	文字	文字	今年度も10月にIBM三田会懇親会が開催されました。IBM三田会懇親会には何人が参加したでしょう？	IBM三田会懇親会の参加人数は？	92名	1	15
3	1	3	文字	文字	今年度全体Leadを務めた村井さんは、他のチームと兼任していましたが、そのチームはどこでしょう？	全体Leadの村井さんが兼任しているチームは？	リレーション強化チーム	1	15
4	1	4	文字	文字	就活生チームでは今年度、就活生向けのイベントを何回実施したでしょう？	今年度、就活生イベントの実施回数は？	4回	1	15
5	1	5	文字	文字	就活生チームの今年度リーダーはFY23松井さんですが、サブリーダーは誰でしょう？	就活生チームのサブリーダーは誰？	市川さん	1	15
6	1	6	文字	文字	25年4月に内定者向けに開催したイベントは何を見学したでしょう？	25年4月の内定者イベントは何を見学した？	量子コンピューター	1	15
7	1	7	文字	文字	26年1月に内定者向けに開催したイベントの満足度は、5段階評価で難点でしょう	26年1月の内定者イベントでの満足度は何点？	4.8	1	15
8	1	8	文字	文字	25年12月に開催した三田会ゴルフカップはどこで行ったでしょう？	25年12月の三田会ゴルフカップを行った場所はどこ？	さいたまゴルフクラブ	1	15
9	1	9	文字	文字	リレーション強化チームが今年初めて実施したしたことは何でしょう？	今年度、リレーション強化チームが初めて実施したことは？	新入社員歓迎会	1	15
10	1	10	文字	文字	リレーション強化チームが今年度企画した催しは今後実施予定のものも含めて何個でしょう？	今年度、リレーション強化チームが企画した催しは何個？	7	1	15
